ts,open,high,low,close,vol,date
1738877400,96050.0,96550.0,96050.0,96392.76,0.2085803499,2025-02-06 21:30:00
1738881000,96392.61,96700.0,96200.04,96500.24,0.3781466734,2025-02-06 22:30:00
1738884600,96697.23,96700.06,96400.0,96700.0,0.7643896728,2025-02-06 23:30:00
1738888200,96750.0,96824.01,96200.0,96200.0,0.7681447983,2025-02-07 00:30:00
1738891800,96352.02,97500.0,96199.79,97269.83,0.3362666487,2025-02-07 01:30:00
1738895400,97269.84,97449.0,96840.82,97200.0,0.1026962194,2025-02-07 02:30:00
1738899000,97117.95,97488.97,97117.94,97260.0,0.1455648251,2025-02-07 03:30:00
1738902600,97260.0,97800.0,96800.0,96800.0,0.5157466196,2025-02-07 04:30:00
1738906200,96801.0,97267.52,96150.01,96200.0,0.3132190773,2025-02-07 05:30:00
1738909800,96300.0,96832.69,96152.01,96500.0,0.1280626876,2025-02-07 06:30:00
1738913400,96699.5,96835.34,96150.01,96365.0,0.3481544307,2025-02-07 07:30:00
1738917000,96498.0,96681.61,96365.0,96659.0,0.3178730049,2025-02-07 08:30:00
1738920600,96659.0,96777.0,96451.0,96486.2,0.2526342349,2025-02-07 09:30:00
1738924200,96486.23,97006.01,96486.19,96851.0,0.8786081566,2025-02-07 10:30:00
1738927800,96851.0,97010.0,96600.01,96659.0,0.7870624087,2025-02-07 11:30:00
1738931400,96900.0,97090.0,96658.65,96994.09,1.3419543304,2025-02-07 12:30:00
1738935000,96999.99,99180.0,96500.0,98693.89,8.1697366787,2025-02-07 13:30:00
1738938600,98634.79,99305.66,96742.8,97887.95,3.9207501082,2025-02-07 14:30:00
1738942200,97887.89,98799.99,97052.0,97216.0,1.3003897485,2025-02-07 15:30:00
1738945800,97215.31,97798.95,96801.0,96802.43,0.8992277564,2025-02-07 16:30:00
1738949400,96802.43,97420.0,96802.43,97417.0,0.5029457209,2025-02-07 17:30:00
1738953000,97417.0,97800.0,96804.0,97100.0,0.5704576861,2025-02-07 18:30:00
1738956600,97100.0,97200.0,96150.0,96152.0,2.0093174565,2025-02-07 19:30:00
1738960200,96152.0,98010.0,95500.02,95804.0,3.7521910979,2025-02-07 20:30:00
1738963800,95820.0,96115.85,95500.0,95849.77,0.5455312445,2025-02-07 21:30:00
1738967400,95603.09,96341.0,95500.09,96196.61,0.2877941192,2025-02-07 22:30:00
1738971000,96196.8,96500.0,95510.01,96499.8,0.173077965,2025-02-07 23:30:00
1738974600,96300.04,96700.0,96252.1,96690.0,0.2106011994,2025-02-08 00:30:00
1738978200,96664.93,96700.0,96420.0,96616.19,0.0750133345,2025-02-08 01:30:00
1738981800,96616.19,96999.99,96420.62,96503.99,0.1505817046,2025-02-08 02:30:00
1738985400,96510.0,96807.39,96375.0,96450.0,0.2205323954,2025-02-08 03:30:00
1738989000,96450.0,96511.89,95888.0,95999.0,0.1999237274,2025-02-08 04:30:00
1738992600,96000.0,96463.08,95850.0,95900.0,0.3256832901,2025-02-08 05:30:00
1738996200,95900.0,95999.7,95500.09,95977.8,0.5187076674,2025-02-08 06:30:00
1738999800,95977.8,96000.0,95805.21,95998.99,0.4192774449,2025-02-08 07:30:00
1739003400,95976.99,95998.99,95500.01,95850.0,0.3589557858,2025-02-08 08:30:00
1739007000,95850.0,96000.0,95550.0,95700.0,0.3924361229,2025-02-08 09:30:00
1739010600,95700.0,96188.91,95639.0,95639.0,0.3414450626,2025-02-08 10:30:00
1739014200,95697.12,95848.62,95494.0,95580.01,0.4016992402,2025-02-08 11:30:00
1739017800,95700.0,95835.0,95501.0,95750.0,0.3276903909,2025-02-08 12:30:00
1739021400,95750.0,96244.24,95550.0,95798.89,0.3696812131,2025-02-08 13:30:00
1739025000,95797.97,95999.99,95550.0,95560.0,0.2479001009,2025-02-08 14:30:00
1739028600,95560.0,95560.0,95123.45,95360.0,0.7153160141,2025-02-08 15:30:00
1739032200,95400.0,96000.0,95360.0,95600.0,0.6135578592,2025-02-08 16:30:00
1739035800,95649.91,96100.0,95649.91,96075.0,0.4429869712,2025-02-08 17:30:00
1739039400,96075.0,96365.97,96075.0,96329.99,0.3713347094,2025-02-08 18:30:00
